arch,freshness,knob_name,knob_value,recall,centroid_hit_rate
hnsw,fresh,efSearch,16,0.627892,
hnsw,fresh,efSearch,32,0.79459,
hnsw,fresh,efSearch,64,0.923048,
hnsw,fresh,efSearch,128,0.974926,
hnsw,fresh,efSearch,256,0.989872,
ivf,fresh,nprobe,1,0.525682,0.9934
ivf,fresh,nprobe,4,0.781594,0.9934
ivf,fresh,nprobe,8,0.865446,0.9934
ivf,fresh,nprobe,16,0.92328,0.9934
ivf,fresh,nprobe,32,0.960336,0.9934
hnsw,partial,efSearch,16,0.627098,
hnsw,partial,efSearch,32,0.793054,
hnsw,partial,efSearch,64,0.905344,
hnsw,partial,efSearch,128,0.938634,
hnsw,partial,efSearch,256,0.946826,
ivf,partial,nprobe,1,0.521224,0.9936
ivf,partial,nprobe,4,0.768752,0.9936
ivf,partial,nprobe,8,0.845618,0.9936
ivf,partial,nprobe,16,0.89544,0.9936
ivf,partial,nprobe,32,0.925042,0.9936
hnsw,stale,efSearch,16,0.624286,
hnsw,stale,efSearch,32,0.776722,
hnsw,stale,efSearch,64,0.860718,
hnsw,stale,efSearch,128,0.88141,
hnsw,stale,efSearch,256,0.886458,
ivf,stale,nprobe,1,0.507392,0.9918
ivf,stale,nprobe,4,0.73748,0.9918
ivf,stale,nprobe,8,0.803388,0.9918
ivf,stale,nprobe,16,0.844678,0.9918
ivf,stale,nprobe,32,0.86839,0.9918
